price_range,mean_rating_range
0,4.6875
10,4.825
20,4.204166666666667
30,4.341566265060239
40,4.399447513812157
50,4.49442105263158
60,4.538988095238097
70,4.601714801444045
80,4.554903846153849
90,4.574823321554769
100,4.548571428571432
110,4.61923076923077
120,4.594752475247526
130,4.666933333333334
140,4.69683734939759
150,4.610887949260045
160,4.609601449275363
170,4.702715654952075
180,4.671713147410359
190,4.653153153153154
200,4.591639344262293
210,4.753804347826087
220,4.656214689265536
230,4.628846153846154
240,4.714583333333333
250,4.665263157894736
260,4.682065217391305
270,4.746396396396394
280,4.813333333333334
290,4.694047619047619
300,4.641826923076922
310,4.655555555555556
320,4.655147058823528
330,4.782051282051282
340,4.741428571428572
350,4.719277108433733
360,4.794736842105263
370,4.817
380,4.766666666666667
390,4.767045454545454
400,4.8025
410,4.657692307692307
420,4.539583333333334
430,4.561111111111112
440,4.23125
450,4.497142857142857
460,4.829166666666667
470,4.725
480,4.6863636363636365
490,4.6673913043478255
500,4.463888888888889
510,4.6625
520,4.884615384615385
530,4.918749999999999
540,4.75
550,4.819230769230769
560,4.4799999999999995
570,4.89
580,4.742857142857143
590,4.8133333333333335
600,4.765217391304348
610,4.183333333333334
620,4.733333333333333
630,4.95
640,4.5055555555555555
650,4.875
660,4.721428571428571
670,4.781818181818181
680,4.725
690,4.944444444444445
700,4.7625
710,4.6000000000000005
730,4.390000000000001
740,4.8
750,4.522222222222222
760,4.733333333333333
770,4.583333333333333
780,4.65
790,4.7625
800,3.9681818181818183
810,5.0
830,4.8500000000000005
840,4.7
850,4.891666666666667
870,4.8
890,4.7875
900,4.2
910,4.8
920,4.175000000000001
950,4.833333333333333
960,4.85
970,4.5125
980,3.0
990,4.540384615384617
