price_range,mean_number_of_reviews
0,67.25
10,27.0
20,21.13888888888889
30,20.012048192771083
40,23.45303867403315
50,30.789473684210527
60,29.96825396825397
70,32.99097472924188
80,31.30576923076923
90,36.8886925795053
100,32.63047619047619
110,36.54545454545455
120,26.62178217821782
130,27.69333333333333
140,34.602409638554214
150,27.19661733615222
160,27.655797101449274
170,26.303514376996805
180,35.78087649402391
190,27.76126126126126
200,31.2
210,32.88586956521739
220,34.47457627118644
230,28.028846153846153
240,26.354166666666668
250,28.11578947368421
260,30.58695652173913
270,30.07207207207207
280,28.066666666666666
290,23.11904761904762
300,28.875
310,20.185185185185187
320,25.102941176470587
330,38.43589743589744
340,27.37142857142857
350,23.40963855421687
360,31.105263157894736
370,25.84
380,37.35897435897436
390,27.818181818181817
400,28.825
410,25.23076923076923
420,30.875
430,13.88888888888889
440,48.25
450,23.942857142857143
460,10.583333333333334
470,11.75
480,49.90909090909091
490,46.608695652173914
500,18.97222222222222
510,81.5
520,30.23076923076923
530,25.375
540,13.5
550,20.23076923076923
560,56.4
570,13.6
580,47.42857142857143
590,36.333333333333336
600,8.08695652173913
610,20.666666666666668
620,27.666666666666668
630,11.75
640,29.666666666666668
650,19.5
660,20.857142857142858
670,28.454545454545453
680,28.5
690,7.111111111111111
700,11.166666666666666
710,36.0
730,30.8
740,11.0
750,32.0
760,18.666666666666668
770,23.0
780,76.0
790,16.0
800,16.272727272727273
810,7.0
830,6.666666666666667
840,92.0
850,17.5
870,17.0
890,20.0
900,61.0
910,48.0
920,50.0
950,10.666666666666666
960,74.0
970,11.25
980,1.0
990,20.51923076923077
